,school_name,major_name,major_link,salary
189,國立臺北護理健康大學,學士後護理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=720624,44700
190,國立臺北護理健康大學,幼兒保育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=760401,0
191,國立臺北護理健康大學,運動保健學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=810501,0
192,國立臺北護理健康大學,休閒產業與健康促進學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5037000000&mid=810532,0
193,國立臺北教育大學,教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140101,40770
194,國立臺北教育大學,科學教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140206,40770
195,國立臺北教育大學,數學資訊教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140210,40770
196,國立臺北教育大學,英語教學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140212,40770
197,國立臺北教育大學,體育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140315,40770
198,國立臺北教育大學,幼兒與家庭教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140408,40770
199,國立臺北教育大學,特殊教育學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140601,40770
200,國立臺北教育大學,教育經營與管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=140707,40770
201,國立臺北教育大學,音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=210401,34940
202,國立臺北教育大學,藝術與造形設計學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=210906,34940
203,國立臺北教育大學,文化創意產業經營學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=210908,34940
204,國立臺北教育大學,語文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=220401,34690
205,國立臺北教育大學,數位內容與動畫設計學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=230206,34940
206,國立臺北教育大學,心理與諮商學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=310509,32240
207,國立臺北教育大學,社會與區域發展學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=310732,32240
208,國立臺北教育大學,資訊科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5038000000&mid=520116,44310
209,國立臺北商業大學,應用外語系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=220303,40730
210,國立臺北商業大學,數位媒體設計學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=230203,0
211,國立臺北商業大學,會計與資訊科技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340201,45510
212,國立臺北商業大學,企業管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340301,38030
213,國立臺北商業大學,國際商務學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340403,42910
214,國立臺北商業大學,財務金融學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340501,41970
215,國立臺北商業大學,財政稅務學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340702,0
216,國立臺北商業大學,商業設計管理系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=340825,0
217,國立臺北商業大學,商品創意經營系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=3499102,0
218,國立臺北商業大學,資訊管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5048000000&mid=480109,49860
219,國立臺灣戲曲學院,戲曲音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210407,0
220,國立臺灣戲曲學院,歌仔戲學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210503,0
221,國立臺灣戲曲學院,京劇學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210504,0
222,國立臺灣戲曲學院,客家戲學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210505,0
223,國立臺灣戲曲學院,劇場藝術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210506,0
224,國立臺灣戲曲學院,民俗技藝學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5052000000&mid=210802,0
225,私立東吳大學,音樂學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5059000000&mid=210401,0
226,私立東吳大學,國文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5059000000&mid=220201,42870
227,私立東吳大學,英文學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5059000000&mid=220309,42870
